year,SeaLevel
2013.3066,34.32
2013.3204,40.65
2013.3269,35.2
2013.3473,41.67
2013.3475,40.97
2013.3747,39.04
2013.3771,41.45
2013.4018,38.11
2013.407,39.87
2013.429,37.95
2013.4368,35.78
2013.4561,36.71
2013.4572,31.93
2013.4833,38.27
2013.5104,37.09
2013.5376,36.89
2013.5648,38.17
2013.5919,37.97
2013.619,33.75
2013.6462,33.68
2013.6696,37.43
2013.7071,33.22
2013.7276,35.08
2013.7548,36.31
2013.7819,36.85
2013.8091,39.83
2013.8362,41.15
2013.8634,39.3
2013.8906,38.24
2013.9177,37.4
2013.9448,35.12
2013.972,37.12
2013.9992,38.64
2014.0263,38.5
2014.0534,38.67
2014.0806,36.7
2014.1077,38.99
2014.1349,41.53
2014.162,41.35
2014.1891,41.56
2014.2163,40.5
2014.2435,40.1
2014.2705,40.68
2014.2978,40.84
2014.3249,38.59
2014.352,38.21
2014.3791,38.26
2014.4063,39.31
2014.4334,38.52
2014.4606,40.65
2014.4878,42.17
2014.5149,42.86
2014.5421,42.32
2014.5692,39.47
2014.5964,41.24
2014.6235,42.91
2014.6507,43.24
2014.6777,42.62
2014.705,42.41
2014.7322,39.51
2014.7593,41.59
2014.7864,44.79
2014.8136,44.32
2014.8407,41.8
2014.8679,41.8
2014.895,38.38
2014.9222,39.77
2014.9493,48.01
2014.9776,45.57
2015.0036,41.83
2015.0308,45.09
2015.0579,44.93
2015.085,47.04
2015.1122,47.4
2015.1394,49.63
2015.1664,48.72
2015.1936,47.32
2015.2207,46.86
2015.2479,48.25
2015.275,49.42
2015.3023,48.69
2015.3293,48.13
2015.3565,47.04
2015.3837,45.28
2015.4108,47.61
2015.438,48.79
2015.465,49.39
2015.4923,50.37
2015.5194,49.02
2015.5466,49.24
2015.5736,49.16
2015.6009,51.01
2015.628,49.57
2015.6551,53.2
2015.6823,53.49
2015.7094,51.82
2015.7366,53.46
2015.7638,54.09
2015.7909,54.54
2015.8181,56.53
2015.8452,53.06
2015.8723,49.61
2015.8995,52.53
2015.9267,53.36
2015.9538,52.31
2015.981,51.73
2016.008,48.03
2016.0353,51.47
2016.0624,55.69
2016.0896,52.28
2016.1167,55.22
2016.1228,54.35
2016.1438,54.435
2016.171,54.89
2016.1958,53.25
2016.1981,52.58
2016.2252,56.735
2016.2513,53.88
2016.2524,54.78
2016.2795,53.17
2016.2796,54.24
2016.3067,52.66
2016.3338,52.17
2016.3339,52.72
2016.361,52.64
2016.3881,51.885
2016.4153,54.325
2016.4425,53.965
2016.4696,56.025000000000006
2016.4967,53.16
2016.4968,54.86
2016.5238,52.38
2016.5239,54.15
2016.5511,53.019999999999996
2016.5781,50.05
2016.5782,50.86
2016.6053,49.855000000000004
2016.6325,48.78
2016.6596,52.37
2016.6868,53.595
2016.7139,52.81
2016.7411,50.775
2016.7682,49.78
2016.7905,48.64
2016.7954,52.27
2016.8089,52.43
2016.8226,52.44
2016.8361,52.05
2016.8497,54.22
2016.8633,53.1
2016.8768,55.48
2016.8904,54.63
2016.904,58.79
2016.9175,55.09
2016.9298,55.02
2016.9446,54.21
2016.9583,53.37
2016.9718,53.71
2016.9854,52.28
2016.999,51.33
2017.0126,51.83
2017.0261,53.69
2017.0397,53.72
2017.0532,53.86
2017.0669,53.21
2017.0804,52.4
2017.094,50.94
2017.1075,49.68
2017.1212,51.0
2017.1347,51.93
2017.1483,51.37
2017.1619,51.15
2017.1755,52.98
2017.189,53.36
2017.2026,53.45
2017.2035,54.75
2017.2297,54.52
2017.2507,55.08
2017.2569,55.62
2017.2704,53.98
2017.284,53.48
2017.2976,55.64
2017.3111,53.63
2017.3247,53.89
2017.3383,53.36
2017.3521,53.31
2017.3655,53.15
2017.3714,52.42
2017.3926,50.1
2017.4198,52.74
2017.447,52.65
2017.4741,52.67
2017.5012,53.67
2017.5284,53.81
2017.5555,53.59
2017.5827,56.73
2017.6098,54.08
2017.637,53.47
2017.6641,54.3
2017.6913,55.76
2017.7185,56.24
2017.7456,53.04
2017.7727,53.04
2017.7999,54.69
2017.8271,56.03
2017.8542,57.57
2017.8813,57.29
2017.9085,58.15
2017.9356,57.18
2017.9628,57.2
2017.9899,54.22
2018.017,54.66
2018.0442,55.84
2018.0713,56.9
2018.0985,57.51
2018.1256,53.34
2018.1527,52.08
2018.1799,55.67
2018.2071,56.22
2018.2342,55.17
2018.2614,53.37
2018.2886,54.63
2018.3156,54.87
2018.3428,55.59
2018.37,55.58
2018.3971,54.51
2018.4243,55.84
2018.4514,55.42
2018.4786,55.0
2018.5057,55.56
2018.5328,57.66
2018.56,57.4
2018.5871,56.11
2018.6143,56.52
2018.6415,55.89
2018.6686,56.33
2018.6958,58.9
2018.7229,58.31
2018.75,61.26
2018.7772,58.8
2018.8044,59.62
2018.8315,61.12
2018.8586,58.83
2018.8858,58.21
2018.9129,57.02
2018.9401,57.59
2018.9673,57.93
2018.9944,58.86
2019.0215,57.09
2019.0487,62.16
2019.0758,59.5
2019.103,61.98
2019.1301,60.77
2019.1463,60.52
2019.1877,61.11
2019.2115,63.48
2019.2387,62.63
2019.2596,61.55
2019.293,61.07
2019.3202,63.01
2019.3473,65.33
2019.3745,62.31
2019.4016,61.13
2019.4287,60.33
2019.4559,64.68
2019.483,63.93
2019.5102,65.34
2019.5374,63.2
2019.5645,62.7
2019.5917,62.67
2019.6187,65.76
2019.6459,66.62
2019.6731,64.95
2019.7002,64.85
2019.7274,64.89
2019.7545,62.38
2019.7817,64.18
2019.8088,63.76
2019.836,61.93
2019.8631,65.4
2019.8903,63.84
2019.9174,63.5
2019.9446,64.6
2019.9717,63.76
2019.9989,63.6
2020.026,61.13
2020.0531,60.17
2020.0749,61.76
2020.1119,68.19
2020.1346,66.4
2020.1617,62.99
2020.1889,64.73
2020.216,61.64
2020.2432,63.88
2020.2703,66.65
2020.2975,64.21
2020.3247,63.94
2020.3518,65.56
2020.3789,66.23
2020.4061,67.24
2020.4332,67.52
2020.4595,64.45
2020.4875,67.15
2020.5147,65.62
2020.5418,66.64
2020.569,67.2
2020.5961,66.83
2020.6233,63.99
2020.6504,65.35
2020.6776,66.38
2020.7048,65.79
2020.7319,65.87
2020.759,66.91
2020.7862,68.27
2020.8115,68.53
2020.8413,69.55
2020.8676,67.38
2020.8948,64.18
2020.9219,67.78
2020.949,66.11
2020.9762,66.7
2020.9768,66.81
2021.0034,67.295
2021.0304,68.12
2021.0305,69.56
2021.0576,68.515
2021.0848,70.525
2021.1119,68.53
2021.139,65.9
2021.1391,66.43
2021.1656,64.67
2021.1662,65.09
2021.1933,64.83
2021.1934,67.11
2021.2205,68.1
2021.2217,65.86
2021.2477,70.08500000000001
2021.2748,72.125
2021.3015,72.24
2021.302,70.39
2021.3291,68.38
2021.3301,67.37
2021.3562,69.86
2021.3563,69.79
2021.3834,71.12
2021.4105,70.37
2021.4377,67.535
2021.4649,71.64
2021.4919,71.72
2021.492,71.26
2021.5191,71.74
2021.5192,71.19
2021.5463,70.25999999999999
2021.5735,73.13
2021.6005,73.0
2021.6006,76.02
2021.6278,73.58500000000001
2021.6549,68.705
2021.6821,69.87
2021.7092,71.84
2021.7094,71.72
2021.7363,71.53
2021.7635,73.17500000000001
2021.7906,72.495
2021.8178,73.965
2021.8449,71.07499999999999
2021.8721,69.05
2021.8992,72.155
2021.9264,74.755
2021.9535,70.715
2021.9807,67.86500000000001
2022.0078,69.66999999999999
2022.035,72.07
2022.0621,74.26
2022.0622,74.0
2022.0892,71.65
2022.0893,72.77
